epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2277.25,0.00862,0.99346,1.1324,0.68103,0.81164,0.82095,0.52439,0.00895,1.05732,1.15903,5.45068e-05,5.45068e-05,5.45068e-05
71,2310.12,0.00853,0.963,1.10885,0.72269,0.82051,0.83039,0.53112,0.00904,1.05291,1.16023,5.2804e-05,5.2804e-05,5.2804e-05
72,2343.18,0.00867,0.98123,1.10914,0.75088,0.83718,0.85533,0.54847,0.00897,0.99173,1.15458,5.11012e-05,5.11012e-05,5.11012e-05
73,2374.16,0.00876,1.01152,1.12911,0.75042,0.76704,0.84236,0.51734,0.00929,1.06173,1.20509,4.93984e-05,4.93984e-05,4.93984e-05
74,2406.03,0.00869,1.01002,1.13976,0.73207,0.83255,0.84446,0.52603,0.00915,0.99521,1.17564,4.76956e-05,4.76956e-05,4.76956e-05
75,2438.65,0.00872,0.96405,1.11975,0.74709,0.82321,0.84593,0.53818,0.00901,0.98221,1.16472,4.59928e-05,4.59928e-05,4.59928e-05
76,2471.38,0.00862,0.94338,1.14534,0.72543,0.82589,0.83862,0.53899,0.009,1.00112,1.16207,4.429e-05,4.429e-05,4.429e-05
77,2503.02,0.00851,0.95464,1.1294,0.72966,0.80212,0.83022,0.53761,0.00894,1.01229,1.14732,4.25872e-05,4.25872e-05,4.25872e-05
78,2533.83,0.00855,0.9579,1.1065,0.73162,0.85057,0.84382,0.53105,0.00923,1.00534,1.18508,4.08844e-05,4.08844e-05,4.08844e-05
79,2566.38,0.00858,0.95545,1.13114,0.759,0.82479,0.85232,0.53271,0.00923,0.96505,1.1886,3.91816e-05,3.91816e-05,3.91816e-05
80,2599.38,0.00861,0.94298,1.11954,0.74444,0.82487,0.84719,0.5345,0.00911,1.00111,1.1711,3.74788e-05,3.74788e-05,3.74788e-05
81,2632.43,0.00824,0.89599,1.10402,0.7615,0.79404,0.84148,0.53238,0.00914,0.99458,1.18189,3.5776e-05,3.5776e-05,3.5776e-05
82,2662.79,0.00847,0.89117,1.13447,0.75206,0.83244,0.8517,0.54087,0.00913,0.95646,1.17294,3.40732e-05,3.40732e-05,3.40732e-05
83,2694.34,0.00854,0.90721,1.10563,0.71585,0.83519,0.8381,0.52499,0.00918,0.98721,1.18582,3.23704e-05,3.23704e-05,3.23704e-05
84,2727.2,0.00856,0.89452,1.14629,0.73658,0.83259,0.85439,0.52873,0.00923,0.97323,1.19292,3.06676e-05,3.06676e-05,3.06676e-05
85,2760.37,0.00824,0.88393,1.1145,0.73531,0.82485,0.83937,0.52984,0.00902,0.98288,1.16393,2.89648e-05,2.89648e-05,2.89648e-05
86,2790.83,0.00847,0.90401,1.12802,0.73152,0.84127,0.84296,0.53377,0.00904,0.98938,1.1709,2.7262e-05,2.7262e-05,2.7262e-05
87,2823.15,0.00834,0.88282,1.12456,0.72722,0.83846,0.84256,0.53731,0.00898,0.97665,1.16189,2.55592e-05,2.55592e-05,2.55592e-05
88,2855.98,0.00833,0.87034,1.09958,0.72973,0.83336,0.83818,0.52704,0.00914,1.00428,1.1852,2.38564e-05,2.38564e-05,2.38564e-05
89,2888.54,0.00833,0.89431,1.09272,0.7367,0.82968,0.8422,0.54469,0.00883,0.97409,1.15195,2.21536e-05,2.21536e-05,2.21536e-05
90,2919.35,0.00835,0.87949,1.09821,0.73219,0.82681,0.83573,0.53108,0.00897,0.98646,1.16603,2.04508e-05,2.04508e-05,2.04508e-05
91,2952.13,0.0077,0.67296,1.0913,0.72421,0.82531,0.84069,0.54181,0.00895,1.02309,1.159,1.8748e-05,1.8748e-05,1.8748e-05
92,2983.12,0.0074,0.64065,1.06997,0.76393,0.84065,0.85711,0.54655,0.00903,0.98017,1.17702,1.70452e-05,1.70452e-05,1.70452e-05
93,3013.5,0.00743,0.62561,1.07674,0.75821,0.83776,0.85214,0.54456,0.00899,0.97007,1.17431,1.53424e-05,1.53424e-05,1.53424e-05
94,3042.12,0.00738,0.60604,1.06892,0.76763,0.84408,0.85888,0.54889,0.009,0.9799,1.16849,1.36396e-05,1.36396e-05,1.36396e-05
95,3073.14,0.0073,0.61181,1.08041,0.764,0.83979,0.85417,0.54115,0.00907,0.99895,1.17903,1.19368e-05,1.19368e-05,1.19368e-05
96,3102.77,0.00731,0.61255,1.07742,0.76179,0.85097,0.85786,0.55227,0.00893,0.97011,1.16347,1.0234e-05,1.0234e-05,1.0234e-05
97,3132.13,0.0072,0.60656,1.06858,0.7663,0.83466,0.85408,0.55224,0.0089,0.97694,1.16157,8.5312e-06,8.5312e-06,8.5312e-06
98,3163.11,0.00741,0.60765,1.07286,0.74997,0.83184,0.84843,0.54881,0.00889,1.0059,1.15912,6.8284e-06,6.8284e-06,6.8284e-06
99,3191.65,0.00729,0.59089,1.06312,0.75237,0.82682,0.84976,0.55208,0.0089,0.99788,1.15996,5.1256e-06,5.1256e-06,5.1256e-06
100,3221.96,0.00721,0.59479,1.06829,0.74987,0.84041,0.85091,0.5481,0.00894,0.99311,1.16568,3.4228e-06,3.4228e-06,3.4228e-06
